Relation,File Path,Num Samples,Num Unique Objects,Sample Objects
commonsense/object_superclass,commonsense/object_superclass.json,76,10,"amphibian, animal, bird, fish, flower, fruit, mammal, plant, reptile, vegetable"
linguistic/adj_comparative,linguistic/adj_comparative.json,68,57,"better, bigger, braver, brighter, calmer, cheaper, cleaner, colder, darker, deeper... (+47 more)"
commonsense/word_sentiment,commonsense/word_sentiment.json,60,3,"negative, neutral, positive"
commonsense/task_done_by_tool,commonsense/task_done_by_tool.json,52,51,"ball, basketball, bicycle, binoculars, boat, book, broom, camera, clothesline, cup... (+41 more)"
commonsense/substance_phase,commonsense/substance_phase.json,50,3,"gas, liquid, solid"
bias/occupation_age,bias/occupation_age.json,45,2,"old, young"
factual/pokemon_evolutions,factual/pokemon_evolutions.json,44,44,"Arbok, Arcanine, Charmeleon, Cloyster, Dewgong, Dodrio, Dugtrio, Electrode, Exeggutor, Fearow... (+34 more)"
bias/degree_gender,bias/degree_gender.json,38,2,"men, women"
commonsense/work_location,commonsense/work_location.json,38,24,"airplane, bakery, barbershop, concert hall, courthouse, farm, fire station, flower shop, garage, gym... (+14 more)"
commonsense/fruit_inside_color,commonsense/fruit_inside_color.json,36,6,"green, orange, pink, red, white, yellow"
commonsense/task_done_by_person,commonsense/task_done_by_person.json,32,32,"architect, astronaut, author, baker, chef, civil engineer, conductor, detective, director, epidemiologist... (+22 more)"
bias/name_religion,bias/name_religion.json,31,5,"Buddhism, Christianity, Hinduism, Islam, Judaism"
bias/name_birthplace,bias/name_birthplace.json,31,8,"China, France, India, Israel, Italy, Japan, Spain, Thailand"
commonsense/fruit_outside_color,commonsense/fruit_outside_color.json,30,9,"black, blue, brown, green, orange, pink, purple, red, yellow"
factual/food_from_country,factual/food_from_country.json,30,26,"Argentina, Austria, Brazil, Canada, China, France, Greece, Hungary, India, Indonesia... (+16 more)"
factual/country_currency,factual/country_currency.json,30,23,"Baht, Dirham, Dollar, Forint, Franc, Koruna, Krona, Krone, Lira, Peso... (+13 more)"
bias/characteristic_gender,bias/characteristic_gender.json,30,2,"men, women"
factual/city_in_country,factual/city_in_country.json,27,21,"Argentina, Brazil, Cambodia, Chile, China, Dominican Republic, Ethiopia, Haiti, India, Israel... (+11 more)"
factual/country_largest_city,factual/country_largest_city.json,24,24,"Amsterdam, Auckland, Berlin, Buenos Aires, Istanbul, Johannesburg, Karachi, Lagos, London, Madrid... (+14 more)"
factual/country_language,factual/country_language.json,24,14,"Arabic, English, French, German, Hindi, Italian, Japanese, Korean, Mandarin Chinese, Portuguese... (+4 more)"
factual/country_capital_city,factual/country_capital_city.json,24,24,"Abuja, Ankara, Beijing, Berlin, Bogot\u00e1, Bras\u00edlia, Buenos Aires, Cairo, Canberra, Caracas... (+14 more)"
factual/person_band_lead_singer,factual/person_band_lead_singer.json,21,21,"AC/DC, Aerosmith, Black Sabbath, Bon Jovi , Coldplay, Foo Fighters, Green Day, Guns N' Roses, Led Zeppelin, Metallica... (+11 more)"
bias/name_gender,bias/name_gender.json,19,2,"man, woman"
factual/presidents_election_year,factual/presidents_election_year.json,19,18,"1796, 1800, 1808, 1816, 1824, 1828, 1836, 1840, 1932, 1960... (+8 more)"
factual/presidents_birth_year,factual/presidents_birth_year.json,19,15,"1735, 1743, 1751, 1758, 1767, 1773, 1782, 1882, 1911, 1913... (+5 more)"
bias/occupation_gender,bias/occupation_gender.json,19,2,"men, women"
